City,day,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,month,year
Kanpur,1,39.14,24.166666666666668,31.426666666666666,39.8,24.21333333333333,32.026666666666664,15.46,42.44266666666667,17.02,226.39166666666665,1000.2666666666668,21.626666666666665,4.98,0.6433333333333333,5.0,2009.0
Kanpur,2,39.733333333333334,24.633333333333333,31.873333333333335,40.486666666666665,25.013333333333332,32.67333333333333,15.646666666666667,41.285333333333334,19.10666666666667,228.38333333333333,1000.0333333333333,26.953333333333333,4.88,0.604,5.0,2009.0
Kanpur,3,38.480000000000004,25.1,31.373333333333335,40.04,25.860000000000003,32.38,16.48,44.408,19.56,215.40833333333333,1001.6,33.56666666666667,4.7,0.5660000000000001,5.0,2009.0
Kanpur,4,37.913333333333334,24.366666666666667,31.066666666666666,39.22666666666667,24.92666666666667,32.126666666666665,16.52,45.96266666666667,20.39333333333333,200.86666666666667,1000.3666666666667,29.006666666666668,4.833333333333333,0.46066666666666667,5.0,2009.0
Kanpur,5,37.78,24.433333333333334,30.993333333333332,40.84666666666667,25.12,32.56666666666667,16.826666666666668,47.21333333333334,20.459999999999997,173.15833333333333,1000.9,35.266666666666666,4.806666666666667,0.48800000000000004,5.0,2009.0
Kanpur,6,37.626666666666665,24.40666666666667,31.040000000000003,39.419999999999995,24.653333333333332,32.24,16.413333333333334,46.473333333333336,16.34,202.04166666666666,1000.6,28.959999999999997,4.833333333333333,0.386,5.0,2009.0
Kanpur,7,38.67333333333333,24.173333333333336,31.2,39.85333333333333,24.733333333333334,32.39333333333334,16.279999999999998,45.23733333333333,17.779999999999998,226.61666666666667,1000.3000000000001,25.653333333333332,4.953333333333333,0.42133333333333334,5.0,2009.0
Kanpur,8,38.126666666666665,24.166666666666668,31.19333333333333,40.026666666666664,24.586666666666666,32.24,16.279999999999998,45.65466666666667,17.913333333333334,243.775,999.1666666666666,29.126666666666665,4.953333333333333,0.45866666666666667,5.0,2009.0
Kanpur,9,38.580000000000005,24.493333333333336,31.486666666666668,40.4,25.30666666666667,32.693333333333335,16.18,44.832,19.766666666666666,232.1833333333333,1002.0,28.613333333333333,5.013333333333334,0.4966666666666667,5.0,2009.0
Kanpur,10,39.06666666666667,24.433333333333334,31.62666666666667,40.440000000000005,24.866666666666667,32.559999999999995,15.853333333333333,43.64,19.90666666666667,253.83333333333334,1002.2,29.3,4.933333333333334,0.538,5.0,2009.0
Kanpur,11,39.14,24.8,31.89333333333333,40.82000000000001,25.533333333333335,33.1,16.273333333333333,43.39,19.166666666666668,258.44166666666666,1002.3,30.166666666666668,4.953333333333333,0.5793333333333333,5.0,2009.0
Kanpur,12,38.43333333333333,25.433333333333334,31.813333333333333,40.84666666666667,26.366666666666667,33.526666666666664,17.613333333333333,46.91133333333333,17.759999999999998,194.88333333333333,998.4,30.933333333333334,4.953333333333333,0.5513333333333333,5.0,2009.0
Kanpur,13,38.2,25.633333333333333,31.546666666666667,41.67333333333333,26.413333333333334,33.66,18.926666666666666,51.302,17.92,207.4416666666667,1003.5,26.16,4.866666666666666,0.5886666666666667,5.0,2009.0
Kanpur,14,38.13333333333333,25.166666666666668,31.493333333333332,40.74666666666667,25.5,33.306666666666665,18.9,52.013333333333335,19.21333333333333,211.04999999999998,999.6333333333333,32.059999999999995,4.8533333333333335,0.5559999999999999,5.0,2009.0
Kanpur,15,38.913333333333334,25.1,31.66,41.666666666666664,25.793333333333337,33.28666666666667,18.540000000000003,51.174,15.406666666666666,190.4333333333333,1003.05,33.74666666666667,4.78,0.452,5.0,2009.0
Kanpur,16,38.75333333333334,26.366666666666667,32.02666666666667,42.086666666666666,27.279999999999998,34.11333333333333,18.793333333333333,50.966,16.966666666666665,216.98333333333335,1001.4,35.4,4.760000000000001,0.4793333333333333,5.0,2009.0
Kanpur,17,38.5,26.5,32.18666666666667,41.24666666666667,27.040000000000003,34.193333333333335,18.813333333333333,49.966,20.126666666666665,205.93333333333337,998.95,31.913333333333334,4.84,0.3733333333333333,5.0,2009.0
Kanpur,18,38.96666666666667,26.1,32.17333333333333,41.89333333333333,26.96,34.56666666666667,18.38,49.382666666666665,19.779999999999998,187.76666666666665,999.8666666666667,36.12,4.753333333333333,0.4013333333333334,5.0,2009.0
Kanpur,19,37.6,26.166666666666668,31.826666666666664,40.89333333333333,27.573333333333334,34.22,18.966666666666665,51.275333333333336,19.040000000000003,182.8083333333333,996.55,36.05333333333333,4.96,0.4346666666666667,5.0,2009.0
Kanpur,20,39.04,25.833333333333332,32.18666666666667,41.806666666666665,26.4,34.2,18.32,50.477333333333334,19.673333333333336,209.98333333333335,995.25,34.913333333333334,4.786666666666666,0.4693333333333333,5.0,2009.0
Kanpur,21,38.973333333333336,26.033333333333335,32.46666666666667,41.5,26.966666666666665,34.419999999999995,17.526666666666664,47.031333333333336,20.886666666666667,193.04166666666666,998.0,31.3,4.793333333333334,0.506,5.0,2009.0
Kanpur,22,38.980000000000004,26.3,32.28,42.21333333333334,27.69333333333333,34.406666666666666,17.373333333333335,46.967999999999996,22.946666666666665,190.46666666666667,997.8000000000001,29.19333333333333,4.819999999999999,0.5453333333333333,5.0,2009.0
