Puesto de trabajo,Orden de p,      Cant. Producida,       Valor Est.,     Cant. Producida,    Valor Est. Producida,     Cant. Constrastada,       Valor Est. Contrastada,merma rec.,    Valor Est. Merma,c.costo,total producido,merma no recuperada
PA235,13330105,520666.0,2883432.7,44979,249092.35,568501.0,3115840.28,0.0,0.0,ASVC-PA235,565645.0,2856.0
PA235,13330106,379050.0,2099167.52,34722,192289.41,417045.0,2285740.25,0.0,0.0,ASVC-PA235,413772.0,3273.0
PA235,13366869,705024.0,3748119.09,68544,364400.45,776728.0,4089604.98,0.0,0.0,ASVC-PA235,773568.0,3160.0
PA235,13368340,924350.0,5119022.53,81018,448675.28,1014542.0,5560501.78,1330.0,4950.19,ASVC-PA235,1005368.0,7844.0
PA235,13368341,423504.0,2321267.79,56304,310151.14,481768.0,2615658.18,0.0,0.0,ASVC-PA235,479808.0,1960.0
PA235,13368342,1001232.0,5536903.07,85680,473818.1,1098726.0,6018908.93,7344.0,27334.0,ASVC-PA235,1086912.0,4470.0
PA235,13368343,257040.0,1726905.25,34272,230254.05,292502.0,1948528.4,0.0,0.0,ASVC-PA235,291312.0,1190.0
PA235,13375209,837216.0,4654242.83,124848,694053.75,968452.0,5333323.29,2448.0,9111.33,ASVC-PA235,962064.0,3940.0
PA235,13375214,88128.0,465871.93,9792,51763.55,98320.0,514734.7,0.0,0.0,ASVC-PA235,97920.0,400.0
PA236,13330119,9779.0,54155.8,0,0.0,9758.0,54039.51,0.0,0.0,ASVC-PA236,9779.0,-21.0
PA236,13330120,44979.0,249092.34,0,0.0,44979.0,249092.35,0.0,0.0,ASVC-PA236,44979.0,0.0
PA236,13330121,35910.0,198868.5,0,0.0,36008.0,199411.24,0.0,0.0,ASVC-PA236,35910.0,98.0
PA236,13343069,321776.0,2240613.17,0,0.0,334288.0,1931188.48,0.0,0.0,ASVC-PA236,321776.0,12512.0
PA236,13352449,773682.0,4950992.28,0,0.0,803766.0,4207007.7,0.0,0.0,ASVC-PA236,773682.0,30084.0
PA236,13366870,70992.0,377414.72,0,0.0,71002.0,377467.92,0.0,0.0,ASVC-PA236,70992.0,10.0
PA236,13368333,34272.0,230254.05,0,0.0,34272.0,230254.05,0.0,0.0,ASVC-PA236,34272.0,0.0
PA236,13368446,373828.0,2435328.67,0,0.0,388364.0,2075852.18,0.0,0.0,ASVC-PA236,373828.0,14536.0
PA236,13368447,406952.0,2631526.62,0,0.0,422776.0,2240197.02,0.0,0.0,ASVC-PA236,406952.0,15824.0
PA236,13368449,357266.0,2403249.77,0,0.0,376074.0,2086981.3,4732.0,17612.26,ASVC-PA236,357266.0,14076.0
PA236,13368451,83790.0,464026.5,0,0.0,62084.0,343819.36,0.0,0.0,ASVC-PA236,83790.0,-21706.0
PA236,13368454,56304.0,308607.85,0,0.0,56304.0,310151.14,0.0,0.0,ASVC-PA236,56304.0,0.0
PA236,13368455,83232.0,460280.44,0,0.0,83232.0,460280.44,0.0,0.0,ASVC-PA236,83232.0,0.0
PA236,13375213,117504.0,653227.07,0,0.0,122450.0,680722.81,4896.0,18222.66,ASVC-PA236,117504.0,50.0
PA236,13376532,9792.0,51763.55,0,0.0,9792.0,51763.55,0.0,0.0,ASVC-PA236,9792.0,0.0
PA236,13376533,18928.0,117699.79,0,0.0,19005.0,99496.88,0.0,0.0,ASVC-PA236,18928.0,77.0
PA236,13378692,167986.0,1085298.74,0,0.0,174518.0,923760.41,0.0,0.0,ASVC-PA236,167986.0,6532.0
PA615-02,13304611,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ASVC-PA615,0.0,0.0
PA615-02,13340835,2964348.0,14977131.11,0,0.0,3047239.806,14698848.76,62678.174,130315.34,ASVC-PA615,2964348.0,20213.63199999975
PA615-02,13344974,1174924.0,6151020.87,0,0.0,1244370.347,6055578.95,50771.07,138330.88,ASVC-PA615,1174924.0,18675.277000000002
PA615-02,13348730,1796798.0,9020321.24,44244,222114.62,1966297.688,9411113.64,64026.713,173499.9,ASVC-PA615,1841042.0,61228.97500000009
PA615-02,13348732,678408.0,3571933.47,216304,1098270.58,962024.219,4709204.74,43474.352,123050.55,ASVC-PA615,894712.0,23837.867000000086
PA615-02,13348738,152396.0,765459.2,54076,274567.65,222364.961,1066235.54,4365.643,9076.69,ASVC-PA615,206472.0,11527.318
PA615-02,13348740,3514940.0,17649040.91,0,0.0,3698911.808,17730178.93,91838.029,218456.69,ASVC-PA615,3514940.0,92133.7790000001
PA615-02,13348744,1484632.0,7538129.94,0,0.0,1593641.63,7725863.09,31598.948,65697.93,ASVC-PA615,1484632.0,77410.6819999998
PA615-02,13348756,208930.0,1094059.86,0,0.0,228457.472,1112035.02,18050.57,57806.19,ASVC-PA615,208930.0,1476.9020000000019
PA615-02,13361449,626790.0,3152546.87,29496,148355.15,674660.056,3239461.22,13876.511,28850.91,ASVC-PA615,656286.0,4497.5449999999255
PA615-02,13361458,1076604.0,5603443.89,206472,1074633.08,1319267.974,6558529.65,27129.359,56405.15,ASVC-PA615,1283076.0,9062.61499999999
PA615-02,13362719,1464968.0,7476171.19,162228,805729.7,1697720.517,8046702.89,42372.185,88733.15,ASVC-PA615,1627196.0,28152.331999999937
PA615-02,13363893,481768.0,2615658.18,0,0.0,497174.05,2512051.43,12545.239,26271.45,ASVC-PA615,481768.0,2860.810999999987
PA615-02,13363894,1088894.0,5965048.45,0,0.0,1211643.631,6178776.7,101492.984,328573.97,ASVC-PA615,1088894.0,21256.647000000114
PA615-02,13363895,1600158.0,8879900.82,0,0.0,1771939.922,9157314.64,84664.751,245513.77,ASVC-PA615,1600158.0,87117.17100000009
PA615-02,13363896,425234.0,2253221.42,0,0.0,449301.584,2213879.64,11073.093,23188.58,ASVC-PA615,425234.0,12994.49099999998
PA615-02,13365627,317082.0,1617413.09,0,0.0,326060.477,1588142.76,6704.382,13939.2,ASVC-PA615,317082.0,2274.0950000000303
PA615-02,13365966,216216.0,1144271.29,0,0.0,235897.76,1160263.13,9805.704,27390.83,ASVC-PA615,216216.0,9876.056000000011
PA615-02,13365969,420318.0,2114060.82,39328,197806.86,492847.357,2366465.72,9718.755,20206.44,ASVC-PA615,459646.0,23482.602000000014
PA615-02,13365975,535844.0,2664864.75,0,0.0,570947.163,2706649.25,11329.887,23556.16,ASVC-PA615,535844.0,23773.275999999954
PA615-02,13365976,124173.0,617538.41,0,0.0,127514.241,604497.84,2625.514,5458.76,ASVC-PA615,124173.0,715.726999999999
PA615-02,13365978,752148.0,3937682.82,0,0.0,786955.402,3829624.02,19585.932,41015.64,ASVC-PA615,752148.0,15221.469999999972
PA615-02,13365979,3050378.0,15555067.12,0,0.0,3248348.997,15816893.42,73855.383,167940.79,ASVC-PA615,3050378.0,124115.61400000006
PA615-02,13365980,1528912.0,7796518.57,0,0.0,1612072.808,7849521.06,32354.987,67269.82,ASVC-PA615,1528912.0,50805.820999999996
PA615-02,13365984,191625.0,959016.06,41391,207450.45,240532.746,1138746.96,6039.076,12648.78,ASVC-PA615,233016.0,1477.6700000000128
PA615-02,13365986,809424.0,4026277.34,75117,376484.15,940520.863,4459611.34,18702.734,38885.23,ASVC-PA615,884541.0,37277.12899999996
PA615-02,13365987,717736.0,3545493.83,0,0.0,758068.676,3569191.98,15175.81,31552.29,ASVC-PA615,717736.0,25156.86599999992
